Root; d__Archaea; p__Thermoplasmatota; c__Thermoplasmata; o__B31-G17
Root; d__Archaea; p__Thermoplasmatota; c__Thermoplasmata; o__B87-G9
Root; d__Archaea; p__Thermoplasmatota; c__Thermoplasmata; o__GCA-020350865
Root; d__Archaea; p__Thermoplasmatota; c__Thermoplasmata; o__JAGHBH01
Root; d__Archaea; p__Thermoplasmatota; c__Thermoplasmata; o__JAJSAE01
Root; d__Archaea; p__Thermoplasmatota; c__Thermoplasmata; o__Methanomassiliicoccales
Root; d__Archaea; p__Thermoplasmatota; c__Thermoplasmata; o__PWKY01
Root; d__Archaea; p__Thermoplasmatota; c__Thermoplasmata; o__RBG-16-68-12
Root; d__Archaea; p__Thermoplasmatota; c__Thermoplasmata; o__SG8-5
Root; d__Archaea; p__Thermoplasmatota; c__Thermoplasmata; o__Sysuiplasmatales
Root; d__Archaea; p__Thermoplasmatota; c__Thermoplasmata; o__Thermoplasmatales
Root; d__Archaea; p__Thermoplasmatota; c__Thermoplasmata; o__UBA10834
Root; d__Archaea; p__Thermoplasmatota; c__Thermoplasmata; o__UBA184
Root; d__Archaea; p__Thermoplasmatota; c__Thermoplasmata; o__WALJ01
Root; d__Archaea; p__Thermoplasmatota; c__UBA186; o__UBA186
Root; d__Archaea; p__Thermoplasmatota; c__UBA186; o__UBA287
Root; d__Archaea; p__Thermoproteota; c__Bathyarchaeia; o__40CM-2-53-6
Root; d__Archaea; p__Thermoproteota; c__Bathyarchaeia; o__B24
Root; d__Archaea; p__Thermoproteota; c__Bathyarchaeia; o__B25
Root; d__Archaea; p__Thermoproteota; c__Bathyarchaeia; o__B26-1
Root; d__Archaea; p__Thermoproteota; c__Bathyarchaeia; o__EX4484-135
Root; d__Archaea; p__Thermoproteota; c__Bathyarchaeia; o__RBG-16-48-13
Root; d__Archaea; p__Thermoproteota; c__Bathyarchaeia; o__TCS64
Root; d__Archaea; p__Thermoproteota; c__DRAE01; o__DRAE01
Root; d__Archaea; p__Thermoproteota; c__EX4484-205; o__EX4484-205
Root; d__Archaea; p__Thermoproteota; c__JANJXX01; o__JANJXX01
Root; d__Archaea; p__Thermoproteota; c__Korarchaeia; o__Korarchaeales
Root; d__Archaea; p__Thermoproteota; c__Methanomethylicia; o__B29-G17
Root; d__Archaea; p__Thermoproteota; c__Methanomethylicia; o__Methanomethylicales
Root; d__Archaea; p__Thermoproteota; c__Methanomethylicia; o__Nezhaarchaeales
Root; d__Archaea; p__Thermoproteota; c__Nitrososphaeria; o__Conexivisphaerales
Root; d__Archaea; p__Thermoproteota; c__Nitrososphaeria; o__Geothermarchaeales
Root; d__Archaea; p__Thermoproteota; c__Nitrososphaeria; o__JACIWG01
Root; d__Archaea; p__Thermoproteota; c__Nitrososphaeria; o__JAGGXQ01
Root; d__Archaea; p__Thermoproteota; c__Nitrososphaeria; o__Nitrososphaerales
Root; d__Archaea; p__Thermoproteota; c__Nitrososphaeria_A; o__Caldarchaeales
Root; d__Archaea; p__Thermoproteota; c__QMWL01; o__QMWL01
Root; d__Archaea; p__Thermoproteota; c__Thermoprotei; o__Gearchaeales
Root; d__Archaea; p__Thermoproteota; c__Thermoprotei; o__QMSL01
Root; d__Archaea; p__Thermoproteota; c__Thermoprotei; o__Thermofilales
Root; d__Archaea; p__Thermoproteota; c__Thermoprotei; o__Thermoproteales
Root; d__Archaea; p__Thermoproteota; c__Thermoprotei_A; o__EX4484-217-1
Root; d__Archaea; p__Thermoproteota; c__Thermoprotei_A; o__Marsarchaeales
Root; d__Archaea; p__Thermoproteota; c__Thermoprotei_A; o__Sulfolobales
Root; d__Archaea; p__Undinarchaeota; c__Undinarchaeia; o__Undinarchaeales
Root; d__Bacteria; p__4484-113; c__4484-113; o__4484-113
Root; d__Bacteria; p__4484-113; c__4484-113; o__JAGGVC01
Root; d__Bacteria; p__4484-113; c__JAJVIF01; o__JAGGVT01
Root; d__Bacteria; p__4484-113; c__JAJVIF01; o__JAJVIF01
Root; d__Bacteria; p__4572-55; c__4572-55; o__4572-55
Root; d__Bacteria; p__4572-55; c__4572-55; o__J002
Root; d__Bacteria; p__AABM5-125-24; c__AABM5-125-24; o__AABM5-125-24
Root; d__Bacteria; p__AABM5-125-24; c__B3-LCP; o__B3-LCP
Root; d__Bacteria; p__AABM5-125-24; c__BMS3BBIN04; o__BMS3BBIN04
Root; d__Bacteria; p__AABM5-125-24; c__JABMRZ01; o__JABMRZ01
Root; d__Bacteria; p__AABM5-125-24; c__RPQS01; o__RPQS01
Root; d__Bacteria; p__ARS69; c__ARS69; o__ARS69
Root; d__Bacteria; p__AUK180; c__AUK180; o__AUK180
Root; d__Bacteria; p__Abyssobacteria; c__SURF-5; o__SURF-5
Root; d__Bacteria; p__Acidobacteriota; c__Aminicenantia; o__Aminicenantales
