sample	coverage	taxonomy
SRR9841429	0.42	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__UBA4486; f__UBA4486; g__JAAXHV01
SRR9841429	1.9	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__JAJEFO01
SRR9841429	0.95	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__Ruegeria
SRR9841429	1.9	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Bin65; f__Bin65; g__Bin65
SRR9841429	0.97	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__UBA828; f__UBA828; g__WTGU01
SRR9841429	2.9	Root; d__Bacteria; p__Poribacteria; c__WGA-4E; o__WGA-4E; f__WGA-3G; g__WGA-3G
SRR9841429	2.22	Root; d__Bacteria; p__Chloroflexota; c__Dehalococcoidia; o__UBA2979; f__UBA2979; g__VXMT01
SRR9841429	2.11	Root; d__Bacteria; p__Chloroflexota; c__Dehalococcoidia; o__Tepidiformales; f__Tepidiformaceae; g__UBA2991
SRR9841429	0.41	Root; d__Bacteria; p__Chloroflexota; c__Dehalococcoidia; o__UBA3495; f__UBA3495; g__Bin22
SRR9841429	0.77	Root; d__Bacteria; p__Chloroflexota; c__Dehalococcoidia; o__SAR202; f__VXLM01; g__VXLM01
SRR9841429	0.37	Root; d__Bacteria; p__Chloroflexota; c__Dehalococcoidia; o__SAR202; f__UBA11138; g__VXRN01
SRR9841429	0.11	Root; d__Bacteria; p__Chloroflexota; c__Dehalococcoidia; o__UBA2963; f__UBA2963; g__Bin16
SRR9841429	1.4	Root; d__Bacteria; p__Chloroflexota; c__Dehalococcoidia; o__Bin125; f__Bin125; g__Bin125
SRR9841429	0.45	Root; d__Bacteria; p__Chloroflexota; c__Dehalococcoidia; o__Bin125; f__Bin125; g__TK10-74A
SRR9841429	1.3	Root; d__Bacteria; p__Chloroflexota; c__Dehalococcoidia; o__UBA1151; f__Bin127; g__Bin127
SRR9841429	0.44	Root; d__Bacteria; p__Gemmatimonadota; c__Gemmatimonadetes; o__Longimicrobiales; f__UBA6960; g__BD2-11
SRR9841429	0.4	Root; d__Bacteria; p__Gemmatimonadota; c__Gemmatimonadetes; o__Longimicrobiales; f__UBA6960; g__JAAXGI01
SRR9841429	0.41	Root; d__Bacteria; p__Gemmatimonadota; c__Gemmatimonadetes; o__KS3-K002; f__JABDQB01; g__JAAXHJ01
SRR9841429	3.06	Root; d__Bacteria; p__JAAXHH01; c__JAAXHH01; o__JAAXHH01; f__JAAXHH01; g__JAAXHH01
SRR9841429	1.06	Root; d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria; o__Bin61; f__Bin61; g__Bin61
SRR9841429	0.09	Root; d__Bacteria; p__Acidobacteriota; c__Terriglobia; o__VXMN01; f__VXMN01; g__VXMN01
SRR9841429	0.16	Root; d__Bacteria; p__Acidobacteriota; c__Terriglobia; o__Bryobacterales; f__UBA6623; g__VXMF01
SRR9841429	0.46	Root; d__Bacteria; p__Acidobacteriota; c__UBA6911; o__RPQK01; f__RPQK01; g__JAJDTT01
SRR9841429	0.4	Root; d__Bacteria; p__UBA8248; c__UBA8248; o__UBA8248; f__UBA8248; g__Bin107
SRR9841429	0.27	Root; d__Bacteria; p__Nitrospirota; c__Nitrospiria; o__Nitrospirales; f__UBA8639; g__Bin75
SRR9841429	0.06	Root; d__Bacteria; p__Desulfobacterota_D; c__UBA1144; o__RKRQ01; f__RKRQ01; g__RKRQ01
SRR9841429	0.62	Root; d__Bacteria; p__Patescibacteria; c__Saccharimonadia; o__Saccharimonadales; f__VXPC01; g__VXPC01
SRR9841429	8.87	Root; d__Archaea; p__Thermoproteota; c__Nitrososphaeria; o__Nitrososphaerales; f__Nitrosopumilaceae; g__VYCS01; s__VYCS01 sp009840065
SRR9841429	5.5	Root; d__Bacteria; p__Actinomycetota; c__Acidimicrobiia; o__Acidimicrobiales; f__UBA11606; g__VYCW01; s__VYCW01 sp009835735
SRR9841429	12.9	Root; d__Bacteria; p__Actinomycetota; c__Acidimicrobiia; o__Acidimicrobiales; f__UBA11606; g__VYCW01; s__VYCW01 sp009842325
SRR9841429	13.4	Root; d__Bacteria; p__Actinomycetota; c__Acidimicrobiia; o__Acidimicrobiales; f__UBA11606; g__VYCW01; s__VYCW01 sp009843915
SRR9841429	47.2	Root; d__Bacteria; p__Actinomycetota; c__Acidimicrobiia; o__Acidimicrobiales; f__UBA11606; g__VYCW01; s__VYCW01 sp009844405
SRR9841429	4.01	Root; d__Bacteria; p__Actinomycetota; c__Acidimicrobiia; o__Acidimicrobiales; f__UBA11606; g__VYCW01; s__VYCW01 sp009837445
SRR9841429	2.92	Root; d__Bacteria; p__Actinomycetota; c__Acidimicrobiia; o__Acidimicrobiales; f__UBA11606; g__VYCW01; s__VYCW01 sp009840695
